External ID,k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia_muciniphila,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_torques,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter|s__Odoribacter_splanchnicus,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaeromassilibacillus|s__Anaeromassilibacillus_sp_An250,k__Bacteria|p__Proteobacteria|c__Proteobacteria_unclassified|o__Proteobacteria_unclassified|f__Proteobacteria_unclassified|g__Proteobacteria_unclassified|s__Proteobacteria_bacterium_CAG_139,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Clostridium_leptum,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_obeum,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_83,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_finegoldii,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_sp_HMSC71H05,k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_parvula,k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila|s__Bilophila_wadsworthia,k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Dielma|s__Dielma_fastidiosa,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Eubacterium_siraeum,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_massiliensis,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii,k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_94,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_CAG_38,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_clostridioforme,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus|s__Anaerotruncus_colihominis,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_CAG_253,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_parasanguinis,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_CAG_242,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_goldsteinii,k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_galacturonicus,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified|g__Intestinimonas|s__Intestinimonas_butyriciproducens
HSMA33MX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSM79H81,0.22187,0,0.03328,0,0,0,0,0,0.0251,51.73881,0,8.47563,0.03797,2.03469,0,0,0.00863,0,1.53129,0,0.02134,0,0,0,0,0.20552,0,0,0,0
CSM9X1ZO,7.2192,0,0.03468,0,0,0.17462,0.04534,0,0,0.28019,12.84857,7.62614,0,0,0,0,0.94808,4.57324,0.17834,0,0.238,0,0,0.02364,1.17688,0,0,0,0.00202,0.00161
PSM7J12B,0,0.21415,0,0,0,1.17116,0,0,0,0,0,0,0,0,0,0.01851,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSM79HNW,0,17.23346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14782,0,0,0,0,0,0,0,0
HSMA33KS,0,0,0.15774,0,0.26889,0,0,0,0,0,0,0,0,0,0,0.0331,0,0,0,0.01894,2.49292,0.00216,1.23419,0,0,0.00433,0,0,0,0
MSM9VZLN,11.68155,0,0,0.43307,0.013,0,0.0558,0.12969,0.03233,2.18704,1.95101,0.47769,0,0,0.00768,0,1.75234,0.10516,0.40268,0.04295,0.03059,0,0,0,0.18558,0.07697,0,4.21493,0,0.22815
PSM7J13K,0,1.38885,0.07033,2.66931,0,0,0,0,0,24.83263,0.02177,2.79603,0,0.00193,0,0,0,0,0.17929,0,0,0,0,0,0,0,0,0,0,0
HSM7CZ16,0.44239,0,1.13958,0.05445,0,0,0,0.10452,0,0,0.00116,1.55264,0,0.08916,0.00559,0,0.01215,1.45951,0,0,0,0,0,0,0.61165,0,0,0,0,0
MSM6J2JB,0,0,0.03606,1.78089,0,0.08197,0.0018,0,0,0,1.182,7.08994,0,0,0.19682,0,0,5.3746,0.54334,0,0,0,0,0,0.47909,0,0,0,0,0
CSM5MCYU_P,19.89953,0,0,0,0,0,0.26644,0,0,1.53697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61121,0,0,0,0,0.16235
PSM7J1C4,0,0.02909,0.00701,0.83066,0,0,0.11607,0.25906,0.57994,2.9119,0.07491,1.86955,0,0,0.04363,0,0.18288,0,0.11256,0,0.11263,0,0,0,12.78992,0,0,0,0,0
CSM67UEP_P,0,3.05881,0,0,0,0,0,2.57174,0,0,0,0,0,2.13928,0,0,0,0,0.13421,0,0,0,0,0,19.50234,0.46226,0,0,0,0
CSM79HOT,0,0,0,0.47517,0,0,0.00677,0.22898,0,0,0.74282,5.64573,0,0,0,0,0.10298,0,0,0.0659,0.30443,0,0,0,10.26719,0,0.10399,0,0,0.00427
HSMA33NO,67.60495,0,0.17026,0,0.0108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08805,0.14524,0,0.02147,0,0,0,0,0,0,0
CSM79HIH,0,0,0.70188,0,0.0131,0,0.12456,0.13122,0,19.52414,0,0,0,0,0,0,0,0,0,0,0,0.07042,0,0,0,0,0.00768,0,0,0.22
MSMA26AZ_TR,0,0,0,0,0.00354,0.06967,0,0.0681,0,0.53028,3.58287,7.19639,0.00143,0,0,0,0,1.48527,0,0.00094,0,0,0.02629,0.01366,0,0,0,0,0,0.23436
HSM7CYYD,0,12.62463,0.05452,0,0,0,0.52513,0.15833,0,0,1.98906,0.25707,0,0,0.06803,0.0383,0,0,0,0,0,0.01174,0.04577,0,0,0,0,0,0,0
MSM79H98,0,0.0094,0.01053,0.84514,0.02779,0,0,0.16035,0.00241,0,1.14299,6.34774,0,0.0135,0,0,2.20476,0,0.32759,0,0,0,0,0,4.04263,0,0,0,0,0.0093
CSM79HJU,0,0.15842,0,0,0,0.06576,0,0,0,6.15104,0,0,0,0.01389,0.00058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSMA266U,0,2.92418,5.41155,0,0,0,0,1.86815,0,0,0.05071,0,0.14737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSM7KOJQ,0,0,0.58922,0,0.00417,0,0.08659,0.59322,0,26.27543,0,0,0,0,0,0,0,0,0,0.00184,0.10383,0.04228,0,0,0,0,0.04899,0,0,1.05304
HSM5MD4W_P,0.20064,0.0178,0,0,0.24233,0,0,0,0,0,0,0,0,0.33292,0,0,0,0,0,0,0,0.95019,0.02117,0,0.00066,0.00556,0.36424,0,0,0.54079
CSM5FZ4M,0,0,0,0.19192,0.00961,0,0.01741,0.13948,0.00833,36.88244,0.24044,4.01032,0,0,0.00126,0,0.15304,0,0,0,0.04358,0.0041,0,0,0,0,0,0,0,0
HSM7CYY9,0,5.90881,0.07203,0,0,0,0.03213,0.03276,0,0,1.01808,4.75559,0.01798,0,0.0573,0.0242,0,0,0,0,0,0.00294,0.08358,0,0,0,0.00332,0,0,0
HSM5MD4Y,16.14726,0,0,0,0.2646,0,0,0,0,0,0,0,0,0.00665,0,0,0,0,0,0,0,1.95235,0.39539,0,1.31178,0.09681,1.38273,0,0,1.10182
MSM79HBB,0.4599,0,0.08357,0.43015,0,0.003,0.01621,0.0369,0.02157,0.43969,0.82228,1.75978,0.0058,0.00804,0,0,8.41488,0.13445,0.104,0,0.06019,0,0,0,0,0,0,0.00151,0,0
HSM6XRTC_P,1.26756,0,0.01112,0.1847,0.09934,0.38265,0.02728,0.00871,0.16701,0,1.80726,3.77743,0,0,0.10552,0,0.75606,0,0,0,0,0,0,0,0.04385,0,0,0,0,0
CSM7KONS_P,0,0.34738,0.06859,0,0,0,0,0.01342,0,0.23379,0,0,0,0,0,0,0.23229,0,0,0,0,0,0,0,0.13724,0,0,0,0,0.0161
CSM79HPM_P,0,0,0,0,0,0,0,0,0,2.25922,0,0,0,0,0,0,3.4211,0,0,0,0,0,0,0,3.27542,0,0,0,0,1.63312
PSM7J127,0,0.14393,0,0,0,0.33773,0,0,0,0,0,0,0,0,0,0.00247,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSMA33IA,0,0,0,1.20955,0,0.00206,0,0,0.02595,0,0.02303,6.16159,0,0,0.00733,0,0,2.25875,0.0715,0,0,0,0,0,44.07267,0,0,0,0,0
MSM9VZPN,0,9.84024,0,1.2518,0,0.04186,0,0.00589,0.18534,0,0,9.55058,0,0,0.28009,0,0.02324,0,0,0,0,0,0,0,0,0,0,0,0,0
MSM79HF7,1.87107,0,0,1.03226,0.01093,0.12468,0.00315,0.06247,0,4.01875,0.26348,0,0,0,0.02161,0,0.44792,1.57653,0.02028,0,0.7847,0,0,0.0559,0.30587,0.0176,0,0.12273,0.00231,0
MSM9VZOK,1.76319,0,0.01534,0,0,0,0,0,0.59899,35.43504,0,3.04697,0,0.68148,0.0092,0,0,0,0.22764,0,0.48971,0,0,0,0,0.02155,0,0,0,0
MSM9VZMO,0,0,0,1.6206,0,0,0,0.01193,0.03798,19.59804,6.03362,8.80934,0,0.10783,0,0,3.14533,2.19147,0.51553,0,0,0,0,0,1.75133,0.03378,0,0,0.01637,0.00218
ESM5GEYX_P,0.00393,0,0.06871,0.96393,0,0,0.05389,0.07389,0.11587,7.03016,4.96246,8.97888,0,0.44902,0.00101,0,2.37936,5.24262,0.18608,0,0.08478,0,0,0,0.00185,0.18292,0,0.41123,0,0
CSM79HGJ_P,0,0,0,0,0,0,0.21343,0,0,4.41537,0,0,0,0,0,0,0.57283,0,0,0,0,0,0,0,2.1718,0,0,0,0,0.52992
PSM7J184,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07445,0,0,0,0,0,0.8672,0.84096,0.00505,0,0,0,0.00359,0,0,0,0
HSM5MD3L_P,0,0.914,4.5048,1.95766,0,0.7943,0.11031,0,1.37596,0.00346,12.64254,6.02001,0,0,0.8359,0,0,0,0,0,0,0,0,0,0,0.08045,0,0,0,0
MSM5LLHG_P,1.21063,0.03052,0.136,2.17013,0,1.66257,0,0.00043,0,0,0.86634,12.03562,0.0181,0,0.00675,0,0,5.00014,3.03598,0,0.14765,0,0,0,3.64524,0,0,0,0,0.00198
MSM79HBP,0,0,1.00036,0,0,1.58585,0,0.25489,0,0,0.08602,0,0,2.06402,0,0.00143,0,0,0,0,0.06745,1.03778,0,0.13447,4.53585,0,0.18075,0,0,0
CSM5MCXP,4.13183,0,0,0,0.0239,0.15091,0.20567,0,0,0,0,0,0,0,0.22991,0,0,0,0,0,0,0.01374,0.07585,0,12.21595,0,0.05044,0,0,0.02285
MSM6J2ON,0,4.19086,0,0,0,0,0,0.01871,0,0,0,0,0,0.01973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSM5MCTZ_P,0,0.40196,0.26065,0.39676,0,0.01245,0,0.06315,0.00755,0.3827,0.20503,5.32638,0.01118,0,0.00939,0.03718,0,0,0.07016,0,0,0,0,0,9.01654,0,0.0028,0,0,0.00258
PSM7J18G,0,4.92301,0,0.28212,0,0,0,0.44646,0.04762,1.19454,0,0.4829,0,0.53291,0,0,0,0,0.01002,0,0.0036,0,0,0,0,0.37409,0,0,0,0
PSMA267R,0,0,0,0,0,0,0,0.10255,0,0,0,0,0,0,0,0,0,1.00008,0,0,0.04529,0,0,0,0.36886,0,0,0,0,0
CSM7KOOZ,0,0,0.17965,0,0.06718,0.04053,0,0,0,22.909,0,0,0,0,0.02028,0,0,0,0,0.11472,0,0.137,0.01708,0,0,0,0,0,0,0.05476
CSM67UG8,0,0.6754,0.00059,0.37715,0,0.0184,0,0.10045,0.38835,0,0.87455,4.43467,0,0,0.00979,0.01381,0,0,0.02687,0,0,0,0,0,8.6452,0.00172,0.08112,0,0,0.00274
MSM79H8F,0,0,0,0.14537,0,0,0,0.06731,0,31.21998,0.07925,0.2319,0,0,0.02592,0,0,2.37429,0.03246,0,0,0,0,0,0,0,0,0,0,0
HSM5MD8A_P,0,1.67974,1.11193,0,0,0.02063,0.67331,0.05088,0.00184,2.80911,0.76051,0.13393,0.03876,0.22321,0.07811,0,0,0,0,0,0,0,0,0,0.84648,0.20144,0,0,0,0
PSM6XBTD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSM5MD44_P,0,1.57639,0.21055,0,0,0.15293,0,0.24697,0,0.2186,0,0,0,0.52807,0,0,0,0,0,0,0.12381,0,0,0,0,4.22719,0,0,0,0
MSM5LLIC_P,0.83049,0.01493,0.04339,1.51105,0,4.34725,0,0.02776,0,0,0.23055,3.59457,0.11865,0,0.13237,0,0,1.67845,0.87348,0,0.5873,0,0,0,1.4572,0.01889,0,0,0,0
MSM5LLE9_P,0,0,6.34976,0,0.02804,0,0,0,0,0.30219,0,0,0,2.01663,0,0,0,0,0,0,1.12456,2.44656,0,0,0.11063,0,0,0,0,0
PSM7J199,0.00975,0.5996,0,0.60395,0,0.01064,0,0.02905,0.02847,0,0,4.28404,0,0,0.00485,0,0.00384,0,0.10523,0,0,0.00433,0,0,15.71278,0,0,0,0,0
CSM5MCW6,0,0,0,2.18664,0,0.06238,0,0.04484,0.08731,79.49239,0,0,0,0,0,0.04062,0,0,0,0.39704,0,0,0,0,0,0,0,0,0,0.01343
PSM6XBTN_P,0,0,0.03117,0,0,0,0,0.04132,0.06937,0.83903,0,2.19784,0,0,0,0,0,1.25505,0.03556,0,0.00414,0,0,0,25.54684,0,0,0,0.00832,0
CSM7KOTS,0,0.07163,0,0,0.18357,1.43291,0,0.3289,2.12703,0.05734,0,0.00128,0,0,0,0.00333,0,0,0,0.69971,0,0,0,0,22.05583,0,0.03881,0,0,0
PSM6XBV2,0.49702,3.23255,0.08632,1.93971,0,0,0.18726,1.29272,0.11056,0.65708,0.12024,4.70116,0.01005,0,0,0,0.12994,0,0.03732,0,0,0,0,0,0,0,0,0,0,0
CSM67UB3,2.73327,0.52561,0,3.3811,0.00607,0,0,0.12641,4.26536,0,2.39594,15.36106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95659
PSM7J1BR,0,0,0,0,0,0,0,0,0,0,0,0,0,3.01965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSM79HIZ,0,0.27671,0,0.9551,0,0.02956,0,0.05924,0.20133,0,1.4084,8.01965,0,0,0,0,0,0,0,0,0,0,0,0,0.03458,0,0,0,0,0.01252
HSM67VE4,0,1.05414,0.06439,0,0,0,0,0,0,0,0.2342,1.38721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSMA264O,0,0,0,0,0.02433,0,0,0,0,0,0,0,0,0.11759,0,0,0,0.84915,0,0,0.14746,0,0,0,0.61806,0,0,0,0,0
MSM79H9M,0,0,0.01523,0.82277,0,0,0,0.04249,0.1309,0,0.45842,2.5184,0,0,0,0,0,2.37959,0.12288,0,0,0,0,0.01097,0.45532,0,0,0,0.02524,0
PSM7J15G,0,7.85565,0,0.6792,0,0,0.05415,0.01272,0.56223,0,0,0.61282,0,0,0.06044,0.12805,0.43827,0,0.007,0,0,0,0.00242,0,4.39979,0.00381,0,0,0,0
HSMA33P6,0,0,0,1.4735,0,0.01601,0.02406,0.00104,0.14553,0,0.10723,5.07865,0,0.0071,0.03144,0,0,3.33311,0.07345,0,0,0,0,0,13.16422,0,0,0,0,0
PSM7J1AS,0,0.22231,0,0,0,0.22945,0,0,0,0,0,0,0.02943,0,0,0.01604,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSM5MCUO,0,0.40415,0.07235,0.18987,0,0.06577,0,0.05743,0.03268,0,0.41588,3.23612,0,0,0.00707,0.01695,0,0,0.02271,0,0,0,0,0,5.84502,0,0.12531,0,0.00272,0
PSM6XBTR,0,0.18373,0.01405,1.20391,0,0.01843,0,0,0.05048,2.19445,0.50173,1.93092,0,0,0.02426,0,0.00172,0,0.19217,0,0,0,0,0,22.44499,0,0,0,0,0.00093
MSM9VZIW,0,4.84274,0,0,0.50581,0.19959,0,0.26553,0,0,0,0,0,0,0,0.07165,0,0,0,1.94766,4.37897,0,0,0,0,0,0,0,0,0
HSM7CYZB,0,43.72841,0,0,0,0,0,0,0,0,0,0,0,0.37647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSMAPC7P,0,0.14472,0.06973,0.63025,0,0.1458,0.05157,0,0,0,0,3.78781,0,0.00459,0.1575,0,0,0,0,0,3.16908,0.00558,0,0,0,0,0,0,0,0
MSMA26EN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67592,0,0,0.25582,0,0,0,0,0,0
HSM7J4HQ,0,0.0624,0.58327,0.10218,0,0.42762,0,0.11244,0,0,0.03039,1.49652,0,0.01088,0,0,0,0,0,0,0,0,0,0,0.36803,0.00293,0,0,0,0
HSM7CZ18,2.09319,0,0.34094,1.1295,0,0,0.00607,0.04708,0.1944,0,0.12307,6.34334,0,0,0.06433,0,0.51835,2.39895,0.04926,0,0,0,0.01907,0,1.1255,0,0,0,0,0
MSM5LLHO_P,1.30005,0.045,0.01028,2.33346,0,1.43825,0.00377,0,0,0.00077,1.8179,15.90206,0,0,0.09446,0,0,4.80182,2.14961,0,0.06657,0,0,0,0.09712,0,0,0,0,0
CSMAE44D,1.32062,1.32641,0.02542,0.52181,0,0.02553,0,0,0.00962,0,18.48493,8.39199,0,0.00606,0,0,0.9933,5.60056,0,0,0,0,0,0,0,0,0,0.49113,0,0
HSM7J4O9,0,0,0,0.77703,0.00051,0.01257,0.31251,0.83889,0.16662,0,1.05644,6.83804,0,0,0,0,3.0709,0,0.27843,0,0,0,0,0,15.50493,0,0,0.76937,0,0.01153
HSM67VHS,0,0.02939,0.0103,1.81073,0,0.32965,0,0.04298,0.10857,0,0,8.28485,0.01087,0.01466,0.05847,0,0.1402,0,0.52384,0,0.68028,0,0,0,0,0,0,0,0,0
MSM79H6J,0,2.49964,0.15817,1.06872,0,0,0,0.08253,0.00597,3.57072,0.20452,2.13189,0,0,0,0,0.65823,1.84578,0.64214,0,0.07009,0,0,0,0,0,0,1.4416,0,0.00544
CSM7KOR4_P,0,0,0,1.05542,0,0,0,0.00548,0,0,0.5077,5.13544,0,0.00162,0.01008,0,1.27752,0,0.23526,0,0,0,0,0,17.78144,0,0,0,0,0.02048
CSM7KOS7,10.24087,13.88315,0.4213,0,0.16952,3.15856,0.0229,0,0,0,0,29.33387,0,0,0,0,0,0,0,0,0.11583,0,0.04224,0,0,0,1.16982,0,0,0.97725
MSM79HF9,13.44328,0,0.08303,0.28774,0,0.02039,0.29502,0.48785,0.03104,0.55731,0.5423,0,0,0,0.0151,0,0.10463,0.111,0.02462,0.04927,0,0,0,0,0.02899,0.81939,0,1.15678,0,0.14496
HSM7J4J9,0,3.59521,0.13297,1.16003,0,0.14359,0,0,0.02487,0,0.01417,0,0,0,0,0,0,0,0.03447,0,0,0.00236,0,0,0,0,0,0,0,0
MSM79H89,6.88759,0,0.07073,0,0.00675,0,0.00817,0,0.21768,48.5889,0,5.69407,0,0.21031,0,0,0.51694,0,0.56124,0,0.03622,0,0,0,0,0.04239,0,0,0,0.01718
HSM6XRSZ_P,0.09265,0.00633,0.00398,0,0.02357,0.10542,0.06933,0.16848,2.22965,0.2106,2.18805,0,0.04748,0,0.0701,0.19055,0,0,0,0,0.03019,0,0.09863,0,1.4744,0,0,0,0,0.47359
PSM6XBSG_P,0,0,0,0,0,0.02793,0,0,0,2.46241,0.21946,0.32038,0.01582,0,0,0,0.39774,0.05834,0,0,0,0,0,0,2.18993,0,0,0,0,0.04728
HSM7J4MA,0,0,0.03595,0.10921,0.163,0.00559,0.01895,0.00489,0.09073,0.00909,0.02858,2.03729,0,0,0,0,0.60944,1.0914,0.00905,0.81981,0,0,0,0,11.40688,0.83644,0,0,0,0
HSM5MD6K_P,0,0,0.13527,0,0,0.03255,0.05288,0.08743,0.00483,0,2.97153,0,0,0,0.09211,0,0,8.0774,0.14396,0,0,0,0,0,43.82026,0,0,0,0,0
CSM79HLG,0,0,0,0,0.03106,0.1329,0.02765,0,0,0,0,0,0,0,0.64754,0.00405,0,0,0,0,0,0.06832,0.08764,0,5.47814,0,0.01402,0,0,0.00138
HSM5FZBZ,0,2.81919,0.18167,0,0,0.00371,0,0,0,0.03385,0.25686,1.1462,0,0.18276,0,0,0,0,0,0,0,0.00575,0,0,0,0,0,0,0,0
CSM67U9X_P,0.00594,0,0.10463,0.19901,0.00303,0.36048,0.01665,0.02058,0,0.19684,0.12265,2.50203,0,0.03497,0,0,0.06911,1.35339,0.09074,0.06064,0,0,0,0,11.8023,0,0.03032,0,0,0
MSM9VZLL,3.95597,0,0.00426,1.59709,0,0,0.03954,0.03031,0,1.48793,1.41068,0.92132,0.00965,0,0.01045,0.04386,0.77916,0.03501,0.39651,0.07378,0.00847,0,0,0,0.19328,0.025,0,3.58068,0,0.09878
HSM5MD48,0,3.08801,0,0,0,1.64254,0.01084,0,0,0,0,0,0,0.60748,0,0,0,0,0,0,0,0.04599,0,0,0,0.01271,0,0,0,0
HSM67VGC,1.68131,0.00831,0.03616,0.8237,0,0.25476,0.45563,0.00833,0.08972,0,9.9204,10.53174,0,0,0.01472,0,1.08713,0,0,0,0,0,0,0,2.2119,0,0,0,0,0.52872
HSM5MD75,0,3.97839,0.3748,0.65573,0,0,0,0,0,0,0,0,0.01874,0,0,0,0,0,0.04748,0,0.19205,0,0,0,0,0,0,0,0,0
HSMA33MS,0,0,0.19024,0.12487,0,0,0.0281,0.0261,0.05393,0,0.4333,2.50311,0,0,0.10487,0,0,0,0.18349,0,0.18007,0,0,0,1.05142,0,0,0.31388,0,0
PSM7J17B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14785,0,0,0,0
HSM67VEC,0,82.34818,0.08062,0,0,0,0.02601,0,0,0,0,0,0,0.49266,0,0,0,0,0,0,0.76789,0,0,0,0,0,0,0,0,0
HSM6XRV4,0,0,0,0.06381,0,0.17933,0,0.01899,0.06318,0,0.05919,0.75192,0.02902,0.03786,0,0,0.80844,1.95354,0.07048,0,0,0,0,0,13.36809,0.30885,0,0.02934,0,0
PSM7J15W,0,2.78512,0.46984,1.77573,0.043,0.60611,1.27677,0.38585,0,0,1.02009,0,0.04962,0,0.01338,0.03648,0,0,0.16325,0.00393,0,0,0.07857,0,7.55504,0,0,0.67637,0.1972,0.17443
PSMA265B,0.02782,1.24464,0.13008,1.06196,0,0,0.02389,0,0,21.22283,0.30343,5.35145,0,0,0,0,0,0,0.05805,0,0.10954,0,0,0,0,0,0,0,0,0
MSM6J2LJ,0,0,0,0,0,0,0,0,0,0,0,0,0.10291,3.62951,0,0,11.03629,0,0,0.19252,0,0,0,0,0,0.00074,0,0,0,0
HSM67VEQ,0,3.02438,0.09034,2.55668,0,0.82287,0,0.1675,0,17.13654,3.8774,5.82234,0,0,0.00717,0.12485,5.43082,0,0.41037,0,0.07594,0,0,0,12.84806,0,0,0,0.18601,0
MSM79H9Y,0,2.06045,0.01954,1.04905,0,0,0,0.01243,0,11.00761,0.49972,2.84243,0,0,0,0,0.09086,2.08718,0.51281,0,0.18178,0,0,0,0,0,0,2.53472,0,0
CSM5FZ4G_P,0,0,0,0.19293,0.04769,0,0.0116,0.29424,0.0191,22.00754,0.88791,9.87416,0,0,0.08509,0.00034,1.73438,0,0,0.03123,0.19747,0.02888,0.02356,0,0.00305,0,0,0,0,0.00349
MSM79H6B,0,0,0.07428,0,0.00152,0,0.04014,0,0,0,0,10.14847,0,0,0.17467,0.00729,3.2154,0,0,0,0.19165,0.12696,0,0,9.8735,0,0,0,0,0.15931
PSM7J1CI,0,0,0,0.70413,0,0,0.00862,0.15613,0,4.67534,1.67564,4.57123,0,0,0.00332,0,0,0.56925,0,0,0,0,0,0,0,0,0,0,0,0.00282
ESM7F5CF,0.00673,0.37072,0.38071,0.21579,0.00047,0.03632,0.0193,0.41889,0.05076,20.12593,0.07345,4.10982,0,0,0.00503,0.00131,0,0,0.10196,0,0,0.02244,0,0,45.08702,0,0,0,0,0
HSM6XRST,0,5.92235,0.03093,0.57694,0,0.47705,0,0.14187,0.02319,0,0,1.38868,0,0.23841,0.0137,0,0,0,0.14405,0,0.86505,0,0,0,0,0,0,0,0,0
MSM6J2RQ,0,1.17355,0.05655,0.94603,0,0,0,0.08611,0.00337,2.82787,0.35112,2.3623,0,0,0,0,0.19441,1.01015,0.49828,0,0.02763,0,0,0,0,0,0,1.52648,0,0.00442
MSM9VZHL,0,0,0,0,0,0,0.04206,0,0.48871,20.00096,0,1.72075,0,0.26954,0,0,0,0,0.26496,0,0.67877,0,0,0,0,0.01828,0,0,0,0.08244
HSM7CYX8,0.308,11.03971,0.07804,0,0.09851,0,0.03395,0.02053,0,0,0,0,0.0233,0.07787,0,0,0,0,0,0,0.19505,0,0.02943,0,0,0.044,0.01571,0,0,0.16075
CSM5MCUY_P,0.0198,0.09573,0,0,0.0073,0.55335,0.00101,0.00399,0.01988,31.37596,0.66702,3.47876,0,0,0.1149,0.17452,0.00407,0,0,0,0,0.0104,0,0,11.01439,0,0.1238,0,0,0.04918
MSM6J2ML,0,0,0,0,0,0,0,0,0,0,0,0,0,22.65716,0,0.07407,0,0,0,0,0.02101,0,0,0,0,0,0,0,0,0
